name,KEGG
AMINOADIPATE_M-H -H2O,C00956
AMINOADIPATE_M-H+HCOONa,C00956
AMINOADIPATE_M-H,C00956
AMINOADIPATE_2M+3Na -4H,C00956
AMINOADIPATE_2M-2H+Na,C00956
DEOXYGUANOSINE-MONOPHOSPHATE_2M-H,C00362
DEOXYGUANOSINE-MONOPHOSPHATE_2M-2H+Na,C00362
DEOXYGUANOSINE-MONOPHOSPHATE_M-2H+Na,C00362
DEOXYGUANOSINE-MONOPHOSPHATE_M-H,C00362
DEOXYGUANOSINE-MONOPHOSPHATE_M+COOH,C00362
DEOXYGUANOSINE-MONOPHOSPHATE_M-H + HCOOH,C00362
DOPAMINE_M+COOH,C03758
DOPAMINE_M+Cl,C03758
DOPAMINE_M-H + HCOOH,C03758
DOPAMINE_M-H,C03758
DOPAMINE_2M-H,C03758
2-KETO-3-DEOXY-6-PHOSPHOGLUCONIC ACID_2M-H,C04442
2-KETO-3-DEOXY-6-PHOSPHOGLUCONIC ACID_M-2H+Na,C04442
2-KETO-3-DEOXY-6-PHOSPHOGLUCONIC ACID_M-H -H2O,C04442
2-KETO-3-DEOXY-6-PHOSPHOGLUCONIC ACID_M-2H+K,C04442
2-KETO-3-DEOXY-6-PHOSPHOGLUCONIC ACID_2M-2H+Na,C04442
2-KETO-3-DEOXY-6-PHOSPHOGLUCONIC ACID_M-H,C04442
GLUCONATE_M+COOH -H2O,C00257
GLUCONATE_M-H,C00257
N-METHYLASPARTATE_2M-H,C12269
N-METHYLASPARTATE_M-H,C12269
N-METHYLASPARTATE_3M-3H+2Na,C12269
N-METHYLASPARTATE_M-H+HCOONa,C12269
N-METHYLASPARTATE_2M-2H+K,C12269
N-METHYLASPARTATE_2M-2H+Na,C12269
NADP_M-H,C00006
NADP_M+COOH,C00006
NADP_M-2H+Na,C00006
NADP_M-H + HCOOH,C00006
ALLANTOIN_2M-2H+Na,C01551
ALLANTOIN_M+e,C01551
ALLANTOIN_M-H+HCOONa,C01551
ALLANTOIN_M-H,C01551
ALLANTOIN_2M-H,C01551
ALLANTOIN_M+CF3COO,C01551
ALLANTOIN_M+Cl,C01551
LEUCINE_M-H,C00123
LEUCINE_M-H+HCOONa,C00123
3-HYDROXYMETHYLGLUTARATE_3M-3H+2Na,C03761
3-HYDROXYMETHYLGLUTARATE_M+CF3COO,C03761
3-HYDROXYMETHYLGLUTARATE_M-2H+Na,C03761
3-HYDROXYMETHYLGLUTARATE_M-H+HCOONa,C03761
3-HYDROXYMETHYLGLUTARATE_2M-2H+Na,C03761
3-HYDROXYMETHYLGLUTARATE_2M-H,C03761
3-HYDROXYMETHYLGLUTARATE_2M+3Na -4H,C03761
3-HYDROXYMETHYLGLUTARATE_M-H,C03761
KYNURENINE_2M-2H+Na,C00328
KYNURENINE_M-H + HCOOH,C00328
KYNURENINE_M-H,C00328
KYNURENINE_M-H+HCOONa,C00328
KYNURENINE_M+CH3COO,C00328
KYNURENINE_M+COOH,C00328
KYNURENINE_M+Cl,C00328
TRANS-4-HYDROXY-L-PROLINE_M-H,C01157
TRANS-4-HYDROXY-L-PROLINE_M+Cl,C01157
N-ACETYLASPARTATE_M-H -H2O,C01042
N-ACETYLASPARTATE_3M-3H+2Na,C01042
N-ACETYLASPARTATE_M-H,C01042
N-ACETYLASPARTATE_2M-2H+K,C01042
N-ACETYLASPARTATE_2M-2H+Na,C01042
N-ACETYLASPARTATE_2M-H,C01042
N-ACETYLASPARTATE_M-H+HCOONa,C01042
"2,5-DIHYDROBENZOIC ACID_M-H",C00628
"2,5-DIHYDROBENZOIC ACID_M+CF3COO",C00628
"2,5-DIHYDROBENZOIC ACID_M-H+HCOONa",C00628
PHOSPHONOACETATE_2M-2H+Na,C05682
PHOSPHONOACETATE_M-H,C05682
PHOSPHONOACETATE_M-H+HCOONa,C05682
PHOSPHONOACETATE_3M-H,C05682
PHOSPHONOACETATE_M-H -H2O,C05682
PHOSPHONOACETATE_2M-H,C05682
ARGININE_2M+Cl,C00062
ARGININE_M-H+HCOONa,C00062
ARGININE_M-H,C00062
ARGININE_2M-H,C00062
ARGININE_2M-2H+Na,C00062
ARGININE_M+e,C00062
ARGININE_2M+HCOO,C00062
ARGININE_M+Cl,C00062
TARTRATE_3M-3H+2Na,C02107
TARTRATE_M-H+HCOONa,C02107
TARTRATE_2M-H,C02107
TARTRATE_2M-2H+Na,C02107
TARTRATE_M-2H+Na,C02107
TARTRATE_M-H,C02107
ADENOSINE 5'-DIPHOSPHATE_M-H+HCOONa,C00008
ADENOSINE 5'-DIPHOSPHATE_M-2H+Na,C00008
ADENOSINE 5'-DIPHOSPHATE_M-H,C00008
THEOPHYLLINE_2M-H,C07130
THEOPHYLLINE_M-H+HCOONa,C07130
THEOPHYLLINE_2M-2H+Na,C07130
THEOPHYLLINE_M+e,C07130
THEOPHYLLINE_M-H,C07130
THEOPHYLLINE_2M-2H+K,C07130
AGMATINE SULFATE_M-H + HCOOH,null
AGMATINE SULFATE_M-H,null
AGMATINE SULFATE_M+COOH,null
PARAXANTHINE_2M-2H+Na,C13747
PARAXANTHINE_M-H,C13747
PARAXANTHINE_M+e,C13747
PARAXANTHINE_M-H+HCOONa,C13747
ADENOSINE-MONOPHOSPHATE_2M-2H+Na,C00020
ADENOSINE-MONOPHOSPHATE_M-H+HCOONa,C00020
ADENOSINE-MONOPHOSPHATE_2M-H,C00020
ADENOSINE-MONOPHOSPHATE_M-H,C00020
GLUCOSAMINE 6-PHOSPHATE_2M-H,C00352
GLUCOSAMINE 6-PHOSPHATE_M-H -H2O,C00352
GLUCOSAMINE 6-PHOSPHATE_2M-2H+Na,C00352
GLUCOSAMINE 6-PHOSPHATE_M-H,C00352
