name,KEGG
DIAMINOPIMELATE-Dimer,C00666
DIAMINOPIMELATE-dimer+Na,C00666
DIAMINOPIMELATE+3Na-2H,C00666
DIAMINOPIMELATE+K,C00666
DIAMINOPIMELATE+2Na-H,C00666
DIAMINOPIMELATE+Na,C00666
4-PYRIDOXATE+Na,C00847
4-PYRIDOXATE-dimer+Na,C00847
4-PYRIDOXATE,C00847
4-PYRIDOXATE+K,C00847
GLUCOSAMINE 6-PHOSPHATE+Na,C00352
GLUCOSAMINE 6-PHOSPHATE,C00352
GLUCOSAMINE 6-PHOSPHATE+2Na-H,C00352
GLUCOSAMINE 6-PHOSPHATE-dimer,C00352
GLUCOSAMINE 6-PHOSPHATE-trimer,C00352
D-GLUCOSAMINE-1-PHOSPHATE-dimer,C06156
D-GLUCOSAMINE-1-PHOSPHATE,C06156
D-GLUCOSAMINE-1-PHOSPHATE-dimer+Na,C06156
D-GLUCOSAMINE-1-PHOSPHATE+Na,C06156
DEOXYCYTIDINE+Na,C00881
DEOXYCYTIDINE-dimer+K,C00881
DEOXYCYTIDINE-dimer,C00881
DEOXYCYTIDINE-dimer+Na,C00881
DEOXYCYTIDINE,C00881
N-ACETYLASPARTATE+K,C01042
N-ACETYLASPARTATE,C01042
N-ACETYLASPARTATE-dimer,C01042
N-ACETYLASPARTATE-dimer+K,C01042
N-ACETYLASPARTATE+Na,C01042
N-ACETYLASPARTATE+2Na-H,C01042
N-ACETYLASPARTATE+dimer+2Na-H,C01042
N-ACETYLASPARTATE_dimer+Na,C01042
GLUTARYLCARNITINE+Na,null
GLUTARYLCARNITINE,null
GLUTARYLCARNITINE-dimer,null
NORADRENALINE+Na,C00547
NORADRENALINE,C00547
CYSTATHIONINE+Na,C02291
CYSTATHIONINE-2Na-H,C02291
CYSTATHIONINE,C02291
CYSTATHIONINE-dimer,C02291
N-METHYLASPARTATE,C12269
N-METHYLASPARTATE+Na,C12269
THEOPHYLLINE+Na,C07130
THEOPHYLLINE-dimer+Na,C07130
THEOPHYLLINE,C07130
THEOPHYLLINE+K,C07130
ADENOSINE-MONOPHOSPHATE,C00020
ADENOSINE-MONOPHOSPHATE+Na,C00020
ADENOSINE-MONOPHOSPHATE-dimer,C00020
HOMOCYSTINE+Na,C01817
HOMOCYSTINE+K,C01817
HOMOCYSTINE+2H,C01817
HOMOCYSTINE,C01817
XANTHOSINE+K,C01762
XANTHOSINE-dimer+Na,C01762
XANTHOSINE,C01762
XANTHOSINE+Na,C01762
XANTHOSINE-dimer,C01762
GLUCOSAMINATE,C03752
GLUCOSAMINATE+2Na-H,C03752
GLUCOSAMINATE+Na,C03752
DOPAMINE,C03758
DOPAMINE-dimer,C03758
DOPAMINE+Na,C03758
4-ACETAMIDOBUTANOATE,C02946
4-ACETAMIDOBUTANOATE-dimer+Na,C02946
4-ACETAMIDOBUTANOATE+Na,C02946
4-ACETAMIDOBUTANOATE-dimer,C02946
4-ACETAMIDOBUTANOATE+K,C02946
4-ACETAMIDOBUTANOATE+2Na-H,C02946
4-ACETAMIDOBUTANOATE-dimer+2Na-H,C02946
N-ACETYLASPARAGINE-dimer+Na,null
N-ACETYLASPARAGINE-dimer+K,null
N-ACETYLASPARAGINE,null
N-ACETYLASPARAGINE+2Na-H,null
N-ACETYLASPARAGINE+K,null
N-ACETYLASPARAGINE+Na,null
TRIMETHYLAMINE N-OXIDE+Na,C01104
TRIMETHYLAMINE N-OXIDE,C01104
TRIMETHYLAMINE N-OXIDE-dimer,C01104
2-DEOXY-D-GLUCOSE-dimer+Na,null
2-DEOXY-D-GLUCOSE+Na,null
2-DEOXY-D-GLUCOSE+K,null
TRYPTOPHAN-dimer,C00525
TRYPTOPHAN+2Na-H,C00525
TRYPTOPHAN+K,C00525
TRYPTOPHAN,C00525
TRYPTOPHAN+Na,C00525
TRANS-4-HYDROXY-L-PROLINE,C01157
TRANS-4-HYDROXY-L-PROLINE+Na,C01157
TRANS-4-HYDROXY-L-PROLINE-dimer,C01157
TREHALOSE-6-PHOSPHATE,C00689
TREHALOSE-6-PHOSPHATE+Na,C00689
TREHALOSE-6-PHOSPHATE+NH4,C00689
AMINOADIPATE+Na,C00956
AMINOADIPATE,C00956
AMINOADIPATE+K,C00956
GLUCOSAMINE,C00329
GLUCOSAMINE-dimer,C00329
GLUCOSAMINE+Na,C00329
GLUCOSAMINE-dimer+Na,C00329
GLUCOSAMINE+K,C00329
OXOPROLINE,C01879
OXOPROLINE+Na,C01879
OXOPROLINE-dimer+Na,C01879
OXOPROLINE-dimer,C01879
HOMOCYSTEINE,C00155
ERYTHRITOL+Na,C00503
ERYTHRITOL,C00503
3-DEHYDROSHIKIMATE+Na,C02637
DEOXYGUANOSINE-MONOPHOSPHATE+Na,C00362
DEOXYGUANOSINE-MONOPHOSPHATE,C00362
"1,3-DIAMINOPROPANE",C00986
GALACTITOL+K,C01697
GALACTITOL+NH4,C01697
GALACTITOL,C01697
GALACTITOL+Na,C01697
GALACTITOL-dimer+Na,C01697
GLUCONATE-dimer+Na,C00257
GLUCONATE+Na,C00257
GLUCONATE+NH4,C00257
GLUCONATE,C00257
ARGININE-dimer,C00062
ARGININE,C00062
NORSPERMIDINE,C03375
N-ACETYL-GLUCOSAMINE 1-PHOSPHATE,C04501
N-ACETYL-GLUCOSAMINE 1-PHOSPHATE+Na,C04501
N-ACETYL-GLUCOSAMINE 1-PHOSPHATE-dimer,C04501
3-HYDROXYMETHYLGLUTARATE+NH4,C03761
3-HYDROXYMETHYLGLUTARATE,C03761
3-HYDROXYMETHYLGLUTARATE+2Na-H,C03761
3-HYDROXYMETHYLGLUTARATE-dimer+K,C03761
3-HYDROXYMETHYLGLUTARATE+K,C03761
3-HYDROXYMETHYLGLUTARATE+Na,C03761
AGMATINE SULFATE,null
KYNURENINE-dimer+Na,C00328
KYNURENINE+K,C00328
KYNURENINE+2Na-H,C00328
KYNURENINE+Na,C00328
KYNURENINE,C00328
KYNURENINE-dimer,C00328
TREHALOSE+NH4,C01083
TREHALOSE-dimer,C01083
TREHALOSE-dimer+Na,C01083
TREHALOSE-dimer+NH4,C01083
TREHALOSE+K,C01083
TREHALOSE+Na,C01083
PYROGLUTAMATE-dimer+2Na-H,C01879
PYROGLUTAMATE+Na,C01879
PYROGLUTAMATE-dimer,C01879
PYROGLUTAMATE-dimer+Na,C01879
PYROGLUTAMATE,C01879
6-PHOSPHOGLUCONATE+Na,C00345
6-PHOSPHOGLUCONATE-dimer,C00345
6-PHOSPHOGLUCONATE+NH4,C00345
6-PHOSPHOGLUCONATE,C00345
S-ADENOSYLMETHIONINE+2H,C00019
S-ADENOSYLMETHIONINE,C00019
LYSINE,C00047
LYSINE-dimer+Na,C00047
LYSINE+Na,C00047
LYSINE-dimer+3Na-2H,C00047
LYSINE+K,C00047
LYSINE+2Na-H,C00047
ALLANTOIN+Na,C01551
ALLANTOIN-dimer,C01551
ALLANTOIN,C01551
D-GLUCURONOLACTONE,C02670
D-GLUCURONOLACTONE-dimer+Na,C02670
D-GLUCURONOLACTONE+K,C02670
D-GLUCURONOLACTONE+NH4,C02670
D-GLUCURONOLACTONE+Na,C02670
LEUCINE+Na,C00123
LEUCINE,C00123
PHOSPHOSERINE,C01005
PHOSPHOSERINE+Na,C01005
